gene,relevance,abs_relevance,input_value
KIAA1522,1.0437243,1.0437243,-2.8953888
SOX15,-1.0381438,1.0381438,0.901875
RPE65,-1.0365368,1.0365368,3.5424001
ACTL6B,-1.0028788,1.0028788,2.1423032
GFAP,-0.98795336,0.98795336,3.399717
CLDN4,0.9850639,0.9850639,-3.0326445
GABRG1,-0.98186356,0.98186356,3.6171656
CYP4A11,0.9803106,0.9803106,-0.31649357
SLC4A4,-0.97239125,0.97239125,1.4069544
HAO2,0.96752524,0.96752524,-0.32443982
ATP2B2,0.9611615,0.9611615,1.8389109
TRPM4,0.9610895,0.9610895,-1.8090268
GABRB1,-0.9524727,0.9524727,2.1954885
XBP1,0.9359711,0.9359711,-1.4738077
OPALIN,-0.93564886,0.93564886,4.502037
GABRA1,-0.9302111,0.9302111,2.3850443
FOXA2,0.9207781,0.9207781,-0.8419766
DUOX1,-0.9204596,0.9204596,-0.5132396
PRR15L,0.91635245,0.91635245,-2.391121
GRID2,-0.90953326,0.90953326,3.0281234
MACC1,0.90638715,0.90638715,-3.1627324
HABP4,-0.9035071,0.9035071,1.9597723
APC,-0.9006064,0.9006064,2.705486
SLC8A3,-0.89500535,0.89500535,2.543323
CSMD3,-0.8843008,0.8843008,2.4746642
KRT8,0.8833117,0.8833117,-3.3169827
GRIA3,-0.87998366,0.87998366,2.4247797
TNS4,0.8765746,0.8765746,-1.9909862
ELAVL3,0.87365377,0.87365377,2.9584765
EXOC3L2,0.8718381,0.8718381,-2.6773522
GRIA4,-0.86344343,0.86344343,2.5388505
B3GAT2,-0.85340434,0.85340434,3.948689
CNTN2,-0.85321355,0.85321355,3.582737
ANKS1B,0.8497208,0.8497208,2.0076075
PCDH10,-0.84021014,0.84021014,1.8936841
MOG,-0.83859754,0.83859754,3.9634383
NKX6-2,0.82583857,0.82583857,4.051214
SDC1,0.81771547,0.81771547,-3.2770987
ABI2,-0.81379074,0.81379074,2.0829356
NXPH1,-0.8095955,0.8095955,2.4627664
PCDH15,-0.8077592,0.8077592,2.608478
ESRP1,0.8076711,0.8076711,-2.6361496
LRRTM3,-0.8073096,0.8073096,2.586936
CDH10,-0.794735,0.794735,2.5112343
TNR,-0.785753,0.785753,2.9413953
RAB3D,0.78192973,0.78192973,-1.8841189
MSMB,0.76344496,0.76344496,-0.8389941
PTPN3,0.75932676,0.75932676,-3.5488172
CDH20,-0.75821793,0.75821793,3.1277773
STX1B,-0.74825996,0.74825996,1.968022
COL6A3,0.744275,0.744275,-2.5631654
FAIM2,-0.74213594,0.74213594,2.302399
CACNG7,-0.74204314,0.74204314,3.017547
APC2,-0.7380088,0.7380088,2.697095
CDKN2A,-0.73687965,0.73687965,0.43245402
SHISA7,-0.72698724,0.72698724,2.9917567
LRRC8E,0.7178905,0.7178905,-2.936307
CTNNA2,-0.7152396,0.7152396,2.304211
SYTL1,-0.7017938,0.7017938,-2.6292565
STAT6,0.69532925,0.69532925,-2.427946
MYO1A,0.694431,0.694431,0.37047312
PMP2,-0.68901247,0.68901247,3.2118843
S100A14,0.6848863,0.6848863,-1.8155546
USH1C,-0.68184257,0.68184257,1.3494068
IL17D,0.68159854,0.68159854,3.234053
BCAN,-0.6740594,0.6740594,2.6812425
CACNG2,-0.6704302,0.6704302,2.231721
SLC7A14,-0.65489835,0.65489835,2.485424
CELSR1,0.6543172,0.6543172,-2.522709
KRT14,-0.649927,0.649927,-1.0344136
PLS1,0.64331657,0.64331657,-2.3079665
CBLC,0.64317226,0.64317226,-2.055731
BAIAP2L1,0.64120543,0.64120543,-3.0145137
MAG,-0.6395952,0.6395952,3.2015166
EPS8L1,0.6395925,0.6395925,-2.4607227
P2RY2,0.62668526,0.62668526,-1.9181619
PKP3,0.62532693,0.62532693,-2.6371791
GRIK5,-0.6221118,0.6221118,1.7739666
MAPK8IP1,0.6157679,0.6157679,2.2089508
EVPL,0.6146878,0.6146878,-3.4021952
BRCA2,0.6095404,0.6095404,-1.7796854
CDC42BPG,0.5982132,0.5982132,-2.7645464
SOX2,-0.5978068,0.5978068,1.7152333
AGR2,0.5907281,0.5907281,-1.6850337
NLGN3,-0.5906871,0.5906871,2.5222647
HTR5A,-0.5823174,0.5823174,1.867072
NRG3,-0.58222127,0.58222127,2.3632798
EFNA2,-0.58028436,0.58028436,1.0631166
DDC,-0.5760607,0.5760607,-0.5821147
DSCAM,0.5728793,0.5728793,2.5215266
KRT7,0.5664798,0.5664798,-1.8327564
NCAN,-0.5657747,0.5657747,2.5807154
SLC32A1,-0.56576866,0.56576866,1.8761976
ATP8B1,0.56183296,0.56183296,-2.7466476
SLC22A12,0.5580889,0.5580889,-0.39671424
SPINT1,0.55633974,0.55633974,-2.6143062
SOX17,-0.5546211,0.5546211,0.28487673
RPH3A,-0.54974896,0.54974896,2.4276454
MDGA2,-0.54919654,0.54919654,2.532665
RNF43,0.54842204,0.54842204,-2.2035599
CSTA,-0.5464659,0.5464659,-1.6351429
GSG1L,-0.5449248,0.5449248,2.9794173
GNG3,-0.5435033,0.5435033,2.0230632
SLC22A11,0.5427656,0.5427656,-0.35192147
FXYD3,0.5382026,0.5382026,-1.1085687
BRAF,-0.5370409,0.5370409,-0.7809753
ANO9,0.53484523,0.53484523,-2.4436452
MLC1,-0.534597,0.534597,2.9442492
SLITRK2,-0.5323147,0.5323147,2.3128114
HHATL,-0.53162205,0.53162205,2.2182703
CEACAM6,-0.5289209,0.5289209,-1.5112164
TOM1L1,0.525981,0.525981,-2.608672
IL22RA1,-0.5248281,0.5248281,-1.9760712
TJP3,0.52275664,0.52275664,-2.214138
IGSF11,0.5217273,0.5217273,2.2296567
JUP,0.5195396,0.5195396,-1.847008
ST14,0.5161172,0.5161172,-2.8132849
HAPLN2,-0.5156029,0.5156029,3.372728
KRT19,0.5120606,0.5120606,-3.1169977
SFN,0.5067511,0.5067511,-2.0855498
CACNG3,-0.505,0.505,1.9037294
KIF5A,-0.50492966,0.50492966,2.6643562
SCD5,-0.50205743,0.50205743,2.1720304
CNTNAP4,-0.49929222,0.49929222,3.759092
NTSR2,-0.4956559,0.4956559,3.6230397
LRRTM4,-0.49344197,0.49344197,2.0265365
HEPACAM,-0.49244785,0.49244785,2.813055
SLCO1C1,-0.49205288,0.49205288,2.8040986
CLDN3,0.49127075,0.49127075,-2.3580358
PRICKLE3,0.48845452,0.48845452,-2.1837747
MOBP,-0.48500338,0.48500338,4.1274295
PCDHGC3,-0.48372656,0.48372656,2.0540328
GRIA2,-0.48151657,0.48151657,2.1113997
CSPG5,-0.47964174,0.47964174,1.8635858
ITGB6,0.47849905,0.47849905,-2.498542
ANKS4B,0.47706577,0.47706577,-0.63905805
